period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,gross.generation,gross.generation.units
2020-03,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,203.01,megawatthours
2019-11,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,117.66,megawatthours
2020-11,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,136.53,megawatthours
2018-01,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,132.28,megawatthours
2019-02,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,115.3,megawatthours
2018-08,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,262.74,megawatthours
2018-12,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,112.39,megawatthours
2018-11,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,155.22,megawatthours
2018-09,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,252.53,megawatthours
2019-01,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,109.43,megawatthours
2017-05,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,310.44,megawatthours
2017-09,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,259.4,megawatthours
2017-10,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,246.75,megawatthours
2017-11,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,155.71,megawatthours
2017-12,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,145.07,megawatthours
2017-04,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,288.85,megawatthours
2017-07,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,246.55,megawatthours
2017-08,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,271,megawatthours
2017-06,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,338.37,megawatthours
2016-07,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,266.76,megawatthours
2017-02,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,152.75,megawatthours
2016-02,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,169,megawatthours
2016-09,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,461.42,megawatthours
2016-03,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,207.11,megawatthours
2016-08,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,212.21,megawatthours
