period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,gross.generation,gross.generation.units
2017-03,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,22,megawatthours
2017-02,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,13,megawatthours
2014-05,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,47,megawatthours
2015-03,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,0,megawatthours
2015-02,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,0,megawatthours
2016-12,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,11,megawatthours
2014-12,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,0,megawatthours
2015-09,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,0,megawatthours
2015-10,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,0,megawatthours
2013-12,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,19,megawatthours
2013-11,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,20,megawatthours
2014-07,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,32,megawatthours
2013-07,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,39,megawatthours
2014-08,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,11,megawatthours
2013-10,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,30,megawatthours
2015-05,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,0,megawatthours
2015-08,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,0,megawatthours
2015-07,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,0,megawatthours
2015-01,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,0,megawatthours
2015-06,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,0,megawatthours
2014-09,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,0,megawatthours
2013-03,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,36,megawatthours
2014-04,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,44,megawatthours
2014-03,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,38,megawatthours
2014-01,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,22,megawatthours
2014-02,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,22,megawatthours
2013-02,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,30,megawatthours
2013-01,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,24,megawatthours
2013-09,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,32,megawatthours
2014-06,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,39,megawatthours
2014-10,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,0,megawatthours
2014-11,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,0,megawatthours
2013-05,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,47,megawatthours
2013-04,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,44,megawatthours
2013-08,141,Agua Fria,SUN,Solar,AZ,Arizona,PV,33,megawatthours
2013-06,8223,Springerville,SUN,Solar,AZ,Arizona,PV,794,megawatthours
2019-09,8223,Springerville,SUN,Solar,AZ,Arizona,PV,1898,megawatthours
2019-08,8223,Springerville,SUN,Solar,AZ,Arizona,PV,1923,megawatthours
2020-10,8223,Springerville,SUN,Solar,AZ,Arizona,PV,2042,megawatthours
2016-05,8223,Springerville,SUN,Solar,AZ,Arizona,PV,2080,megawatthours
2016-06,8223,Springerville,SUN,Solar,AZ,Arizona,PV,1910,megawatthours
2015-11,8223,Springerville,SUN,Solar,AZ,Arizona,PV,1050,megawatthours
2019-07,8223,Springerville,SUN,Solar,AZ,Arizona,PV,1246,megawatthours
2015-12,8223,Springerville,SUN,Solar,AZ,Arizona,PV,689,megawatthours
2020-07,8223,Springerville,SUN,Solar,AZ,Arizona,PV,1989,megawatthours
2020-04,8223,Springerville,SUN,Solar,AZ,Arizona,PV,2671,megawatthours
2020-06,8223,Springerville,SUN,Solar,AZ,Arizona,PV,2700,megawatthours
2020-08,8223,Springerville,SUN,Solar,AZ,Arizona,PV,2120,megawatthours
2020-01,8223,Springerville,SUN,Solar,AZ,Arizona,PV,1524,megawatthours
2020-05,8223,Springerville,SUN,Solar,AZ,Arizona,PV,3040,megawatthours
2019-12,8223,Springerville,SUN,Solar,AZ,Arizona,PV,1344,megawatthours
2019-10,8223,Springerville,SUN,Solar,AZ,Arizona,PV,2567,megawatthours
2019-05,8223,Springerville,SUN,Solar,AZ,Arizona,PV,825,megawatthours
2019-04,8223,Springerville,SUN,Solar,AZ,Arizona,PV,1069,megawatthours
2019-06,8223,Springerville,SUN,Solar,AZ,Arizona,PV,1061,megawatthours
2019-03,8223,Springerville,SUN,Solar,AZ,Arizona,PV,2342,megawatthours
2020-02,8223,Springerville,SUN,Solar,AZ,Arizona,PV,1673,megawatthours
2014-05,8223,Springerville,SUN,Solar,AZ,Arizona,PV,555,megawatthours
2020-09,8223,Springerville,SUN,Solar,AZ,Arizona,PV,2111,megawatthours
2018-08,8223,Springerville,SUN,Solar,AZ,Arizona,PV,2295,megawatthours
2018-06,8223,Springerville,SUN,Solar,AZ,Arizona,PV,2670,megawatthours
2019-11,8223,Springerville,SUN,Solar,AZ,Arizona,PV,1831,megawatthours
2018-07,8223,Springerville,SUN,Solar,AZ,Arizona,PV,2238,megawatthours
2018-10,8223,Springerville,SUN,Solar,AZ,Arizona,PV,1554,megawatthours
2018-05,8223,Springerville,SUN,Solar,AZ,Arizona,PV,2855,megawatthours
2018-03,8223,Springerville,SUN,Solar,AZ,Arizona,PV,2201,megawatthours
2018-04,8223,Springerville,SUN,Solar,AZ,Arizona,PV,1968,megawatthours
2018-02,8223,Springerville,SUN,Solar,AZ,Arizona,PV,826,megawatthours
2020-11,8223,Springerville,SUN,Solar,AZ,Arizona,PV,1530,megawatthours
2020-03,8223,Springerville,SUN,Solar,AZ,Arizona,PV,2382,megawatthours
2020-12,8223,Springerville,SUN,Solar,AZ,Arizona,PV,1378,megawatthours
2018-09,8223,Springerville,SUN,Solar,AZ,Arizona,PV,2387,megawatthours
2018-12,8223,Springerville,SUN,Solar,AZ,Arizona,PV,1258,megawatthours
2018-11,8223,Springerville,SUN,Solar,AZ,Arizona,PV,2064,megawatthours
2017-11,8223,Springerville,SUN,Solar,AZ,Arizona,PV,1516,megawatthours
2019-01,8223,Springerville,SUN,Solar,AZ,Arizona,PV,1533,megawatthours
2019-02,8223,Springerville,SUN,Solar,AZ,Arizona,PV,1534,megawatthours
2017-05,8223,Springerville,SUN,Solar,AZ,Arizona,PV,2325,megawatthours
2017-08,8223,Springerville,SUN,Solar,AZ,Arizona,PV,1853,megawatthours
2017-10,8223,Springerville,SUN,Solar,AZ,Arizona,PV,2148,megawatthours
2017-09,8223,Springerville,SUN,Solar,AZ,Arizona,PV,1882,megawatthours
2017-12,8223,Springerville,SUN,Solar,AZ,Arizona,PV,1342,megawatthours
2017-04,8223,Springerville,SUN,Solar,AZ,Arizona,PV,2379,megawatthours
2017-06,8223,Springerville,SUN,Solar,AZ,Arizona,PV,2526,megawatthours
2017-07,8223,Springerville,SUN,Solar,AZ,Arizona,PV,1689,megawatthours
2018-01,8223,Springerville,SUN,Solar,AZ,Arizona,PV,1696,megawatthours
2017-02,8223,Springerville,SUN,Solar,AZ,Arizona,PV,1367,megawatthours
2016-02,8223,Springerville,SUN,Solar,AZ,Arizona,PV,1201,megawatthours
2016-07,8223,Springerville,SUN,Solar,AZ,Arizona,PV,2017,megawatthours
2016-03,8223,Springerville,SUN,Solar,AZ,Arizona,PV,1528,megawatthours
2016-08,8223,Springerville,SUN,Solar,AZ,Arizona,PV,1063,megawatthours
2016-09,8223,Springerville,SUN,Solar,AZ,Arizona,PV,1776,megawatthours
2016-01,8223,Springerville,SUN,Solar,AZ,Arizona,PV,708,megawatthours
2015-07,8223,Springerville,SUN,Solar,AZ,Arizona,PV,516,megawatthours
2016-10,8223,Springerville,SUN,Solar,AZ,Arizona,PV,1666,megawatthours
2016-11,8223,Springerville,SUN,Solar,AZ,Arizona,PV,1512,megawatthours
2015-08,8223,Springerville,SUN,Solar,AZ,Arizona,PV,1575,megawatthours
2017-01,8223,Springerville,SUN,Solar,AZ,Arizona,PV,1734,megawatthours
2015-10,8223,Springerville,SUN,Solar,AZ,Arizona,PV,1035,megawatthours
2014-09,8223,Springerville,SUN,Solar,AZ,Arizona,PV,88,megawatthours
2014-04,8223,Springerville,SUN,Solar,AZ,Arizona,PV,691,megawatthours
2015-02,8223,Springerville,SUN,Solar,AZ,Arizona,PV,1163,megawatthours
2014-11,8223,Springerville,SUN,Solar,AZ,Arizona,PV,0,megawatthours
2014-10,8223,Springerville,SUN,Solar,AZ,Arizona,PV,50,megawatthours
2014-12,8223,Springerville,SUN,Solar,AZ,Arizona,PV,504,megawatthours
2015-03,8223,Springerville,SUN,Solar,AZ,Arizona,PV,1835,megawatthours
2016-12,8223,Springerville,SUN,Solar,AZ,Arizona,PV,432,megawatthours
2015-04,8223,Springerville,SUN,Solar,AZ,Arizona,PV,1548,megawatthours
2015-09,8223,Springerville,SUN,Solar,AZ,Arizona,PV,1129,megawatthours
2015-06,8223,Springerville,SUN,Solar,AZ,Arizona,PV,1644,megawatthours
2013-10,8223,Springerville,SUN,Solar,AZ,Arizona,PV,568,megawatthours
2013-12,8223,Springerville,SUN,Solar,AZ,Arizona,PV,406,megawatthours
2013-11,8223,Springerville,SUN,Solar,AZ,Arizona,PV,568,megawatthours
2014-07,8223,Springerville,SUN,Solar,AZ,Arizona,PV,1027,megawatthours
2013-09,8223,Springerville,SUN,Solar,AZ,Arizona,PV,687,megawatthours
2013-08,8223,Springerville,SUN,Solar,AZ,Arizona,PV,593,megawatthours
2015-05,8223,Springerville,SUN,Solar,AZ,Arizona,PV,1548,megawatthours
2017-03,8223,Springerville,SUN,Solar,AZ,Arizona,PV,2218,megawatthours
2015-01,8223,Springerville,SUN,Solar,AZ,Arizona,PV,950,megawatthours
2016-04,8223,Springerville,SUN,Solar,AZ,Arizona,PV,1416,megawatthours
2013-05,8223,Springerville,SUN,Solar,AZ,Arizona,PV,868,megawatthours
2014-08,8223,Springerville,SUN,Solar,AZ,Arizona,PV,48,megawatthours
2013-02,8223,Springerville,SUN,Solar,AZ,Arizona,PV,537,megawatthours
2014-03,8223,Springerville,SUN,Solar,AZ,Arizona,PV,691,megawatthours
