GEOID,year,month,smoke_days,total_pm
04013061100,2020,09,22,113.898151
04013061100,2020,10,17,73.741324
04013082208,2013,05,4,6.37662616
04013082208,2013,06,4,27.608071
04013082208,2013,07,6,30.736525
04013082208,2014,05,3,11.248756
04013082208,2014,09,1,1.724587
04013082208,2014,11,1,3.81698
04013082208,2015,04,1,2.493933
04013082208,2015,06,4,7.292726
04013082208,2015,08,1,1.059492
04013082208,2016,05,1,2.442633
04013082208,2016,06,3,7.386324
04013082208,2016,08,5,11.339677
04013082208,2017,06,9,23.16894992
04013082208,2017,07,1,6.428376
04013082208,2017,08,2,5.840617
04013082208,2017,09,2,14.21128
04013082208,2017,10,3,3.82597952
04013082208,2018,07,1,3.252694
04013082208,2018,08,8,27.4842591
04013082208,2018,11,1,7.405011
04013082208,2019,06,7,9.7421169
04013082208,2019,07,1,1.19338
04013082208,2019,10,4,9.021105
04013082208,2019,11,1,2.122925
04013082208,2020,06,6,10.2202707
04013082208,2020,08,16,91.250339
04013082208,2020,09,21,120.731662
04013082208,2020,10,17,72.014196
04013093200,2013,05,2,3.426692
04013093200,2013,06,4,28.581567
04013093200,2013,07,6,26.124286
04013093200,2014,05,2,3.6973
04013093200,2015,04,1,1.199407
04013093200,2015,06,4,4.5530105
04013093200,2015,08,1,0.8782496
04013093200,2016,05,1,2.049464
04013093200,2016,06,4,5.2803789
04013093200,2016,08,5,10.2824992
04013093200,2017,06,8,18.9475378
04013093200,2017,07,2,5.54678
04013093200,2017,08,2,4.957268
04013093200,2017,09,2,12.883837
04013093200,2017,10,3,4.500798
04013093200,2018,07,1,1.885313
04013093200,2018,08,8,27.7612053
04013093200,2018,11,1,9.4813
04013093200,2019,04,1,1.023442
04013093200,2019,06,8,6.8183203
04013093200,2019,07,1,1.189781
04013093200,2019,09,1,2.156355
04013093200,2019,10,3,7.5840328
04013093200,2019,11,1,1.628615
04013093200,2020,06,7,7.4463728
04013093200,2020,08,16,85.282178
04013093200,2020,09,22,97.7752931
04013093200,2020,10,17,59.664651
04013112510,2013,04,1,2.471957e-05
04013112510,2013,05,5,8.442466
04013112510,2013,06,4,27.237885
04013112510,2013,07,6,31.007917
04013112510,2014,05,3,11.030697
04013112510,2014,11,1,4.406639
04013112510,2015,04,1,2.143964
04013112510,2015,06,4,6.942514
04013112510,2015,08,1,0.9996446
04013112510,2016,05,1,2.240637
04013112510,2016,06,5,9.1352055
04013112510,2016,08,5,10.446175
04013112510,2017,06,8,20.734454
04013112510,2017,07,2,6.24256567
04013112510,2017,08,2,5.499294
04013112510,2017,09,2,12.828206
04013112510,2017,10,3,5.267317
04013112510,2018,07,1,3.100818
04013112510,2018,08,8,27.2259445
04013112510,2018,11,1,8.788177
04013112510,2019,06,7,8.6764581
04013112510,2019,07,1,1.140206
04013112510,2019,10,3,7.1338727
04013112510,2019,11,1,1.993684
04013112510,2020,06,6,8.5244659
04013112510,2020,08,16,90.947855
04013112510,2020,09,21,108.985676
04013112510,2020,10,17,66.467661
04013113802,2013,04,1,1.078829
04013113802,2013,05,4,3.8590887
04013113802,2013,06,4,25.8541678
04013113802,2013,07,6,20.539271
04013113802,2014,05,2,4.19967
04013113802,2015,04,1,1.120208
04013113802,2015,06,5,7.2055413
04013113802,2015,08,1,0.7914508
04013113802,2016,05,1,2.009021
04013113802,2016,06,6,9.6301881
04013113802,2016,08,5,6.2894995
04013113802,2017,06,9,18.770331
04013113802,2017,07,2,6.020675
04013113802,2017,08,2,3.826566
04013113802,2017,09,2,12.869679
04013113802,2017,10,3,2.9817623
04013113802,2018,07,1,1.297334
04013113802,2018,08,9,40.8487168
04013113802,2018,11,1,10.11786
04013113802,2019,06,9,6.2077244
04013113802,2019,07,1,1.09924
04013113802,2019,10,3,7.5751379
04013113802,2019,11,1,1.164368
04013113802,2020,06,8,7.14940195
04013113802,2020,08,16,84.528813
04013113802,2020,09,21,93.8585893
04013113802,2020,10,16,49.801584
04013117200,2013,04,1,1.213611
04013117200,2013,05,4,5.7294198
04013117200,2013,06,4,28.2751686
04013117200,2013,07,6,23.031962
04013117200,2014,05,2,3.973528
04013117200,2015,04,1,1.112509
04013117200,2015,06,5,7.563279
04013117200,2015,08,1,0.7903912
04013117200,2016,05,1,2.033843
04013117200,2016,06,6,10.477772
04013117200,2016,08,5,6.0810064
04013117200,2017,06,9,17.9983099
04013117200,2017,07,2,6.048642
