period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,gross.generation,gross.generation.units,sector,entityid,entityName,balancing_authority_code,balancing.authority.name,status,gen_cap,operating.year.month,geometry,intersection,geoid,long,lat
2017-02,60248,Skylark,SUN,Solar,CO,Colorado,PV,495.45,megawatthours,ipp-non-chp,60036,SR Clinch,WACM,Western Area Power Administration - Rocky Mountain Region,OP,4,2015-12,-104.894792|40.577889,10541,08123002208,-104.894792,40.577889
2017-02,60283,SR Mavericks,SUN,Solar,CO,Colorado,PV,784.92,megawatthours,ipp-non-chp,60060,"SR Mavericks, LLC",WACM,Western Area Power Administration - Rocky Mountain Region,OP,7.8,2016-12,-105.03|40.23,9986,08123002103,-105.03,40.23
2017-02,60304,"San Isabel Solar, LLC",SUN,Solar,CO,Colorado,PV,4172,megawatthours,ipp-non-chp,60097,"San Isabel Solar, LLC",PSCO,Public Service Company of Colorado,OP,30,2016-12,-104.843|37.372,9733,08071000100,-104.843,37.372
2016-07,60320,"Jeffco Community Solar Gardens, LLC",SUN,Solar,CO,Colorado,PV,156.53,megawatthours,ipp-non-chp,60970,SunShare Management,PSCO,Public Service Company of Colorado,OP,1.2,2016-05,-105.149694|39.859564,10151,08059060500,-105.149694,39.859564
2017-02,60351,Bison Solar LLC,SUN,Solar,CO,Colorado,PV,3214,megawatthours,ipp-non-chp,60143,Bison Solar LLC,PSCO,Public Service Company of Colorado,OP,30,2016-10,-105.0111|40.863809,9971,08069002503,-105.0111,40.863809
2017-02,60497,SR Skylark B,SUN,Solar,CO,Colorado,PV,240.31,megawatthours,ipp-non-chp,60263,"SR Skylark B, LLC",WACM,Western Area Power Administration - Rocky Mountain Region,OP,2,2016-09,-104.895675|40.579472,10541,08123002208,-104.895675,40.579472
2017-02,60511,Clear Spring Ranch PV Project,SUN,Solar,CO,Colorado,PV,1194.44,megawatthours,ipp-non-chp,60293,"DG Colorado Solar, LLC",WACM,Western Area Power Administration - Rocky Mountain Region,OP,10,2016-10,-104.694688|38.602102,9980,08041004511,-104.694688,38.602102
2017-12,60720,Weld 1 Community Solar Array,SUN,Solar,CO,Colorado,PV,0,megawatthours,ipp-non-chp,60609,"Clean Focus Renewables, Inc.",PSCO,Public Service Company of Colorado,OP,1.5,2017-10,-104.791865|40.232146,10551,08123001800,-104.791865,40.232146
2017-12,60722,Logan 1 Community Solar Array,SUN,Solar,CO,Colorado,PV,28.08,megawatthours,ipp-non-chp,60609,"Clean Focus Renewables, Inc.",PSCO,Public Service Company of Colorado,OP,1.7,2017-10,-103.145084|40.609968,9736,08075966400,-103.145084,40.609968
2017-12,60723,Conejos 1 Community Solar Array,SUN,Solar,CO,Colorado,PV,63.67,megawatthours,ipp-non-chp,60609,"Clean Focus Renewables, Inc.",PSCO,Public Service Company of Colorado,OP,1.5,2017-11,-105.982424|37.195886,10732,08021974800,-105.982424,37.195886
2017-12,60724,Arapahoe 3 Community Solar Array,SUN,Solar,CO,Colorado,PV,0,megawatthours,ipp-non-chp,60609,"Clean Focus Renewables, Inc.",PSCO,Public Service Company of Colorado,OP,1.8,2017-09,-104.674249|39.638358,10078,08005007104,-104.674249,39.638358
2017-12,60725,Xcel Adams 2 Community Solar Array,SUN,Solar,CO,Colorado,PV,20,megawatthours,ipp-non-chp,60609,"Clean Focus Renewables, Inc.",PSCO,Public Service Company of Colorado,OP,1.5,2017-12,-104.583391|39.784937,10256,08001008401,-104.583391,39.784937
2017-12,60726,Xcel Adams 1 Community Solar Array,SUN,Solar,CO,Colorado,PV,43.51,megawatthours,ipp-non-chp,60609,"Clean Focus Renewables, Inc.",PSCO,Public Service Company of Colorado,OP,1.8,2017-09,-104.588631|39.765479,10256,08001008401,-104.588631,39.765479
2017-02,60764,Victory Solar LLC,SUN,Solar,CO,Colorado,PV,1584.73,megawatthours,ipp-non-chp,60452,Victory Solar LLC,PSCO,Public Service Company of Colorado,OP,12.8,2016-12,-104.433|39.795,10256,08001008401,-104.433,39.795
2019-02,60801,"CEC Solar #1117, LLC",SUN,Solar,CO,Colorado,PV,229.18,megawatthours,ipp-non-chp,60609,"Clean Focus Renewables, Inc.",PSCO,Public Service Company of Colorado,OP,1.5,2018-08,-104.523951|38.284425,9802,08101003600,-104.523951,38.284425
2018-01,61314,SR Kersey,SUN,Solar,CO,Colorado,PV,436.95,megawatthours,ipp-non-chp,60916,"SR Kersey, LLC",WACM,Western Area Power Administration - Rocky Mountain Region,OP,3.5,2017-08,-104.55095|40.386197,10550,08123001600,-104.55095,40.386197
2017-12,61425,Coyote Ridge Community Solar,SUN,Solar,CO,Colorado,PV,126.91,megawatthours,electric-utility,15257,"Poudre Valley REA, Inc",WACM,Western Area Power Administration - Rocky Mountain Region,OP,1.5,2017-10,-105.13143|40.500969,10409,08069001809,-105.13143,40.500969
2017-12,61439,Panasonic Carport Solar,SUN,Solar,CO,Colorado,PV,115.49,megawatthours,electric-utility,15466,Public Service Co of Colorado,PSCO,Public Service Company of Colorado,OP,1.3,2017-05,-104.781494|39.808719,10149,08031980000,-104.781494,39.808719
